id,prompt,topic_composition,dominant_topic,topic_label
u446p7,I will attach two documents here and explain to me what is needed of me.  The Company chosen is Astrazeneca.,"{0: 0.4708, 1: 0.0238, 2: 0.0238, 3: 0.1696, 4: 0.0194, 5: 0.0138, 6: 0.0133, 7: 0.0112, 8: 0.0088, 9: 0.0097, 10: 0.0101, 11: 0.1578, 12: 0.0083, 13: 0.0079, 14: 0.0079, 15: 0.0076, 16: 0.0074, 17: 0.0053, 18: 0.0056, 19: 0.0047, 20: 0.0047, 21: 0.0046, 22: 0.0038, 23: 0.0, 24: 0.0}",0,Document Summarization
u936p5,What's the difference between machine learning and artificial intelligence?,"{0: 0.3786, 1: 0.3767, 2: 0.028, 3: 0.0248, 4: 0.0227, 5: 0.0162, 6: 0.0157, 7: 0.0132, 8: 0.0104, 9: 0.0114, 10: 0.0118, 11: 0.011, 12: 0.0098, 13: 0.0092, 14: 0.0093, 15: 0.0089, 16: 0.0087, 17: 0.0062, 18: 0.0065, 19: 0.0055, 20: 0.0055, 21: 0.0054, 22: 0.0044, 23: 0.0, 24: 0.0}",0,Document Summarization
u894p5,now let us get back to what we were discussing earlier on fl studio,"{0: 0.0457, 1: 0.0427, 2: 0.0428, 3: 0.038, 4: 0.0348, 5: 0.2915, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.2842, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",5,Career and Education Planning
u872p3,"north wales, conwy county. some people dont like tourist industry, some see the benefit. in a few sentences, please some of the pros and cons of tourism in the place that you live","{0: 0.1514, 1: 0.0207, 2: 0.15, 3: 0.277, 4: 0.0169, 5: 0.1413, 6: 0.0116, 7: 0.0098, 8: 0.0077, 9: 0.0085, 10: 0.0088, 11: 0.0081, 12: 0.0073, 13: 0.0069, 14: 0.0069, 15: 0.1359, 16: 0.0064, 17: 0.0046, 18: 0.0048, 19: 0.0041, 20: 0.0041, 21: 0.004, 22: 0.0033, 23: 0.0, 24: 0.0}",3,Professional Email Drafting
u670p1,Writing a letter of support,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.5, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.5, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0}",4,YouTube Video Metadata
u794p7,What color hair would suit me best?,"{0: 0.036, 1: 0.0337, 2: 0.0338, 3: 0.0299, 4: 0.0274, 5: 0.0195, 6: 0.0189, 7: 0.0159, 8: 0.0125, 9: 0.0138, 10: 0.0142, 11: 0.0132, 12: 0.0118, 13: 0.0111, 14: 0.0112, 15: 0.0108, 16: 0.0104, 17: 0.0075, 18: 0.218, 19: 0.0066, 20: 0.2168, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.2121}",18,Vehicle Charging Speed
u515p9,"rephrase I have reset the password and the new password has been sent to your email,Kindly forward it at your own convinience.","{0: 0.0221, 1: 0.0207, 2: 0.0208, 3: 0.4063, 4: 0.0169, 5: 0.012, 6: 0.0116, 7: 0.0098, 8: 0.0077, 9: 0.3963, 10: 0.0088, 11: 0.0081, 12: 0.0073, 13: 0.0069, 14: 0.0069, 15: 0.0066, 16: 0.0064, 17: 0.0046, 18: 0.0048, 19: 0.0041, 20: 0.0041, 21: 0.004, 22: 0.0033, 23: 0.0, 24: 0.0}",3,Professional Email Drafting
u440p8,"provide all for:  Script T5MTDIH: Top 5 Movies This Day in History – December 12    1986: ¡Three Amigos!   Three out-of-work silent film actors are mistakenly recruited by a Mexican village to fend off a dangerous bandit gang.   Steve Martin, Chevy Chase, and Martin Short starred in this comedy, which cleverly mocked the tropes of old Westerns while blending physical comedy with musical elements.   John Landis directed the film, drawing from his experience with slapstick humor to create an over-the-top story with memorable scenes like the infamous singing bush.   Though not initially a blockbuster, the movie found a loyal following in later years, appreciated for its unique humor and parody style.    1997: Home Alone 3   This sequel centers on a young boy left home alone who discovers that international spies are after a secret computer chip hidden in a toy car.   Rather than reprising the original cast, the filmmakers introduced Alex D. Linz as the new lead character, updating the story with modern technology.   The traps became more elaborate, incorporating gadgets like remote-controlled planes and homemade contraptions.   Raja Gosnell, making his directorial debut, aimed to recreate the comedic tone of the earlier films for a new generation of kids.    2003: Somethings Gotta Give   In this romantic comedy, an older bachelor and a divorced playwright are thrown together after a medical emergency forces him to stay in her home.   Jack Nicholson and Diane Keaton played the leads, bringing decades of acting experience to their characters’ humorous and heartfelt exchanges.   The film explored themes of aging, love, and family with a lighthearted tone that resonated with audiences across age groups.   Nancy Meyers both wrote and directed the movie, crafting a story praised for its relatable take on finding love later in life.    2008: The Day the Earth Stood Still   An alien arrives on Earth to deliver an ultimatum about humanitys future survival in this remake of a 1951 sci-fi classic.   Keanu Reeves portrayed Klaatu, an emotionless extraterrestrial, alongside Jennifer Connelly as a scientist who tries to appeal to his humanity.   Modern special effects replaced the original’s minimalistic approach, showcasing scenes like the destruction caused by nanotechnology swarms.   The movie drew attention to environmental and ecological concerns, positioning itself as a cautionary tale for the modern era.    2003: Love Dont Cost a Thing   A high school student pays the most popular girl in school to pretend to date him, hoping it will elevate his social status.   The story examines themes of insecurity, popularity, and the pressure to fit in, adapted from the 1987 film Can’t Buy Me Love.   Nick Cannon and Christina Milian led the cast, bringing a modern, urban twist to the narrative through their performances.   The film highlighted the importance of self-worth and authenticity, finding an audience among teenagers navigating similar challenges.","{0: 0.051, 1: 0.3234, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.1673, 6: 0.1117, 7: 0.0338, 8: 0.0, 9: 0.0, 10: 0.0059, 11: 0.0, 12: 0.0, 13: 0.0948, 14: 0.0503, 15: 0.0281, 16: 0.0, 17: 0.1336, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0}",1,Romantic Poem Writing
u430p3,talent or hard work ?,"{0: 0.0457, 1: 0.0427, 2: 0.0428, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.2907, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.275, 22: 0.0067, 23: 0.0039, 24: 0.0}",6,Decision Strategy
u890p2,Resume creation,"{0: 0.0457, 1: 0.0427, 2: 0.0428, 3: 0.3047, 4: 0.3015, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",3,Professional Email Drafting
u859p5,"Is a dirty cabin air filter the most common reason for weak airflow, so check and replace the filter if needed?","{0: 0.0176, 1: 0.0165, 2: 0.0165, 3: 0.0146, 4: 0.1161, 5: 0.0095, 6: 0.0092, 7: 0.0078, 8: 0.0061, 9: 0.0067, 10: 0.1097, 11: 0.1092, 12: 0.0058, 13: 0.0054, 14: 0.1082, 15: 0.0053, 16: 0.0051, 17: 0.0037, 18: 0.0038, 19: 0.0032, 20: 0.0033, 21: 0.0032, 22: 0.4135, 23: 0.0, 24: 0.0}",22,TypeScript Module Fixing
u834p7,How to stay safe in Jail?,"{0: 0.0457, 1: 0.0427, 2: 0.0428, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.2817, 13: 0.0141, 14: 0.2809, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",12,Email and Application Requests
u292p5,Can you help me write a professional email to a colleague,"{0: 0.036, 1: 0.0337, 2: 0.0338, 3: 0.6616, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.0125, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",3,Professional Email Drafting
u543p2,"What are some specific actions, practices, or class features that make you feel most supported and valued as an LGBTQ+ student in a college course environment?","{0: 0.1345, 1: 0.0184, 2: 0.0184, 3: 0.0164, 4: 0.015, 5: 0.4699, 6: 0.2399, 7: 0.0087, 8: 0.0068, 9: 0.0075, 10: 0.0078, 11: 0.0072, 12: 0.0064, 13: 0.0061, 14: 0.0061, 15: 0.0059, 16: 0.0057, 17: 0.0041, 18: 0.0043, 19: 0.0036, 20: 0.0036, 21: 0.0036, 22: 0.0, 23: 0.0, 24: 0.0}",5,Career and Education Planning
u715p6,"I'm feeling very well today, thank you.  Say, I did want to follow up a bit and ask for a little more support and guidance just now, OK? I just finished breakfast, and I am aware, and have lately been much more aware, of this tendency or (previously) unconscious habit, whatever it is, that almost immediately when I finish a meal, when I have decided that I have had the food I planned on and am done, then very quickly comes a kind of longing, image, looking-forward to like ""OK, now I want more"" kind of feeling.  What is that??  I mean, it's ... it seem irrational and counter to what I actually want, you know?  So, almost as soon after I eat and finish, I want more.","{0: 0.0449, 1: 0.1977, 2: 0.0062, 3: 0.0055, 4: 0.005, 5: 0.0036, 6: 0.0034, 7: 0.0, 8: 0.1556, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.5385, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0397, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0}",14,Health After Surgery
u934p1,answer tell me about yourself emphasizing skills that would make me a good office manager at a law firm,"{0: 0.0254, 1: 0.0238, 2: 0.0238, 3: 0.4666, 4: 0.0194, 5: 0.0138, 6: 0.3103, 7: 0.0112, 8: 0.0088, 9: 0.0097, 10: 0.0101, 11: 0.0093, 12: 0.0083, 13: 0.0079, 14: 0.0079, 15: 0.0076, 16: 0.0074, 17: 0.0053, 18: 0.0056, 19: 0.0047, 20: 0.0047, 21: 0.0046, 22: 0.0038, 23: 0.0, 24: 0.0}",3,Professional Email Drafting
u586p10,Meeting plan on Trello,"{0: 0.036, 1: 0.0337, 2: 0.0338, 3: 0.6616, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.0125, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",3,Professional Email Drafting
u118p2,add numerical details on what they expect buildings to have in them,"{0: 0.2466, 1: 0.0337, 2: 0.0338, 3: 0.03, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.0125, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.2218, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.2184, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",0,Document Summarization
u666p7,How many calories should you burn in day,"{0: 0.0457, 1: 0.0427, 2: 0.3095, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.2767, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",2,Travel Booking
u167p6,He walked out of the conversation?,"{0: 0.0457, 1: 0.3094, 2: 0.3095, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",2,Travel Booking
u389p3,I need a few light ice breaker questions,"{0: 0.0457, 1: 0.0427, 2: 0.0428, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.5536, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",7,Home Network Troubleshooting
u530p5,Consequences of falling into deep water,"{0: 0.0299, 1: 0.3767, 2: 0.028, 3: 0.0248, 4: 0.0227, 5: 0.0162, 6: 0.0157, 7: 0.0132, 8: 0.1848, 9: 0.0114, 10: 0.0118, 11: 0.011, 12: 0.0098, 13: 0.0092, 14: 0.0093, 15: 0.0089, 16: 0.0087, 17: 0.0062, 18: 0.0065, 19: 0.0055, 20: 0.0055, 21: 0.1798, 22: 0.0044, 23: 0.0, 24: 0.0}",1,Romantic Poem Writing
u424p1,word puzzle solution,"{0: 0.2466, 1: 0.0337, 2: 0.0338, 3: 0.2405, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.0125, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.2172, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",0,Document Summarization
u809p1,I love my french fries but can you please make a plan that includes fries and also foods that are anti inflammatory?,"{0: 0.0221, 1: 0.2793, 2: 0.0208, 3: 0.0184, 4: 0.0169, 5: 0.012, 6: 0.0116, 7: 0.0098, 8: 0.2663, 9: 0.0085, 10: 0.0088, 11: 0.0081, 12: 0.0073, 13: 0.2654, 14: 0.0069, 15: 0.0066, 16: 0.0064, 17: 0.0046, 18: 0.0048, 19: 0.0041, 20: 0.0041, 21: 0.004, 22: 0.0033, 23: 0.0, 24: 0.0}",1,Romantic Poem Writing
u608p6,is it wise to invest in bitcoin at the moment?,"{0: 0.0299, 1: 0.0279, 2: 0.2024, 3: 0.0248, 4: 0.0227, 5: 0.0162, 6: 0.3644, 7: 0.0132, 8: 0.0104, 9: 0.0114, 10: 0.0118, 11: 0.011, 12: 0.0098, 13: 0.0092, 14: 0.0093, 15: 0.0089, 16: 0.0087, 17: 0.0062, 18: 0.0065, 19: 0.0055, 20: 0.0055, 21: 0.0054, 22: 0.1788, 23: 0.0, 24: 0.0}",6,Decision Strategy
u184p10,"""What are the best strategies for improving memory retention?""","{0: 0.036, 1: 0.0337, 2: 0.0338, 3: 0.4511, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.0125, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.2172, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",3,Professional Email Drafting
u235p5,what type of drink is english breakfast,"{0: 0.2466, 1: 0.0337, 2: 0.0338, 3: 0.03, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.4336, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",8,Healthy Meal Planning
u355p1,How can we improve internal communication across different departments within our organization?,"{0: 0.0299, 1: 0.0279, 2: 0.028, 3: 0.5479, 4: 0.0227, 5: 0.0162, 6: 0.0157, 7: 0.0132, 8: 0.0104, 9: 0.0114, 10: 0.0118, 11: 0.011, 12: 0.0098, 13: 0.0092, 14: 0.0093, 15: 0.0089, 16: 0.183, 17: 0.0062, 18: 0.0065, 19: 0.0055, 20: 0.0055, 21: 0.0054, 22: 0.0044, 23: 0.0, 24: 0.0}",3,Professional Email Drafting
u668p1,Write simple HTML and CSS code for blog website,"{0: 0.036, 1: 0.0337, 2: 0.0338, 3: 0.03, 4: 0.6591, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.0125, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",4,YouTube Video Metadata
u540p4,Is 55% humidity good for a cold?,"{0: 0.0457, 1: 0.0427, 2: 0.0428, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.5536, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",7,Home Network Troubleshooting
u666p8,Write a daily meal plan,"{0: 0.036, 1: 0.0337, 2: 0.0338, 3: 0.03, 4: 0.0275, 5: 0.0196, 6: 0.2295, 7: 0.016, 8: 0.4336, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",8,Healthy Meal Planning
u440p10,"provide all for: Script TDIH: This Day in History – December 13    1294: Pope Celestine V Resigns   Pope Celestine V, a Benedictine hermit known for his piety and reluctance to lead, resigned from the papacy.   His abdication was motivated by a desire to return to his spiritual seclusion and escape the political intrigues of the Vatican.   This act paved the way for Pope Boniface VIIIs controversial reign and remains a rare example of a voluntary papal resignation.    1577: Francis Drake Sets Sail on Circumnavigation   English explorer Francis Drake departed from Plymouth, England, aboard the Pelican, later renamed the Golden Hind.   The voyage, sanctioned by Queen Elizabeth I, aimed to expand Englands wealth and influence by targeting Spanish holdings.   Drakes circumnavigation not only showcased his exceptional seamanship but also cemented Englands naval ambitions during a period of fierce imperial competition.    1937: Nanjing Massacre Begins   As Japanese troops entered the Chinese city of Nanjing, a brutal campaign of mass killings, sexual violence, and looting began.   Over six weeks, an estimated 200,000 to 300,000 people were killed, with untold suffering inflicted on civilians and prisoners of war.   The massacre remains a poignant reminder of the horrors of war and a central issue in Japan-China relations today.    2000: Al Gore Concedes Presidential Election   Vice President Al Gore formally ended the contentious 2000 U.S. presidential election, acknowledging George W. Bush’s victory.   This followed a Supreme Court decision halting the Florida recount, which had become the focal point of the dispute.   Gore’s concession speech called for healing and unity, demonstrating a commitment to the democratic process despite the deeply divisive outcome.    2003: Saddam Hussein Captured   After months of searching, U.S. forces captured Saddam Hussein near his hometown of Tikrit, Iraq.   He was discovered hiding in a small, camouflaged spider hole armed with a pistol but offering no resistance.   Husseins capture symbolized a major victory for coalition forces and set the stage for his eventual trial and execution for crimes against humanity.","{0: 0.0313, 1: 0.0162, 2: 0.0238, 3: 0.0462, 4: 0.0, 5: 0.0834, 6: 0.0984, 7: 0.0, 8: 0.008, 9: 0.0, 10: 0.0907, 11: 0.0, 12: 0.0, 13: 0.1282, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.4662, 18: 0.0078, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0}",17,Science Facts
u86p5,can the cultural part be called cultural sensitivity?,"{0: 0.036, 1: 0.0337, 2: 0.0338, 3: 0.03, 4: 0.0275, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.0125, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.6395, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",18,Vehicle Charging Speed
u44p7,stores other than ikea that sell inexpensive lamps,"{0: 0.0299, 1: 0.0279, 2: 0.5511, 3: 0.0248, 4: 0.0227, 5: 0.0162, 6: 0.0157, 7: 0.1876, 8: 0.0104, 9: 0.0114, 10: 0.0118, 11: 0.011, 12: 0.0098, 13: 0.0092, 14: 0.0093, 15: 0.0089, 16: 0.0087, 17: 0.0062, 18: 0.0065, 19: 0.0055, 20: 0.0055, 21: 0.0054, 22: 0.0044, 23: 0.0, 24: 0.0}",2,Travel Booking
u355p4,How can we address and resolve communication breakdowns in a remote or hybrid work environment?,"{0: 0.0254, 1: 0.0238, 2: 0.0238, 3: 0.6151, 4: 0.0194, 5: 0.0138, 6: 0.0133, 7: 0.0112, 8: 0.0088, 9: 0.0097, 10: 0.0101, 11: 0.0093, 12: 0.0083, 13: 0.0079, 14: 0.0079, 15: 0.0076, 16: 0.0074, 17: 0.0053, 18: 0.154, 19: 0.0047, 20: 0.0047, 21: 0.0046, 22: 0.0038, 23: 0.0, 24: 0.0}",3,Professional Email Drafting
u229p9,Strains and sprains.,"{0: 0.0457, 1: 0.0427, 2: 0.0428, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.547, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",15,Mental Health and Stress
u773p1,Give me a detailed at home exercise routine,"{0: 0.0299, 1: 0.0279, 2: 0.5511, 3: 0.0248, 4: 0.1971, 5: 0.0162, 6: 0.0157, 7: 0.0132, 8: 0.0104, 9: 0.0114, 10: 0.0118, 11: 0.011, 12: 0.0098, 13: 0.0092, 14: 0.0093, 15: 0.0089, 16: 0.0087, 17: 0.0062, 18: 0.0065, 19: 0.0055, 20: 0.0055, 21: 0.0054, 22: 0.0044, 23: 0.0, 24: 0.0}",2,Travel Booking
u977p2,"An example of the prompt was ""Please customize my cover letter template to fit this job description:"" and then I cut and pasted the job description.","{0: 0.0254, 1: 0.0238, 2: 0.0238, 3: 0.0212, 4: 0.7617, 5: 0.0138, 6: 0.0133, 7: 0.0112, 8: 0.0088, 9: 0.0097, 10: 0.0101, 11: 0.0093, 12: 0.0083, 13: 0.0079, 14: 0.0079, 15: 0.0076, 16: 0.0074, 17: 0.0053, 18: 0.0056, 19: 0.0047, 20: 0.0047, 21: 0.0046, 22: 0.0038, 23: 0.0, 24: 0.0}",4,YouTube Video Metadata
u324p3,What are the benefits of having AI studio in an organization?,"{0: 0.036, 1: 0.0337, 2: 0.0338, 3: 0.03, 4: 0.0275, 5: 0.4407, 6: 0.0189, 7: 0.016, 8: 0.0125, 9: 0.2243, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",5,Career and Education Planning
u144p2,"Please summarize the key industry trends and observations around the Testing, Inspection, and Certification industry (TIC)","{0: 0.3266, 1: 0.0165, 2: 0.0165, 3: 0.3236, 4: 0.0134, 5: 0.0096, 6: 0.0093, 7: 0.0078, 8: 0.0061, 9: 0.0068, 10: 0.007, 11: 0.0065, 12: 0.0058, 13: 0.0055, 14: 0.0055, 15: 0.0053, 16: 0.2111, 17: 0.0037, 18: 0.0039, 19: 0.0033, 20: 0.0033, 21: 0.0032, 22: 0.0, 23: 0.0, 24: 0.0}",0,Document Summarization
u709p5,What's the best Super Bowl snack to bring,"{0: 0.0299, 1: 0.0279, 2: 0.028, 3: 0.0248, 4: 0.0227, 5: 0.0162, 6: 0.19, 7: 0.3619, 8: 0.0104, 9: 0.0114, 10: 0.0118, 11: 0.011, 12: 0.0098, 13: 0.0092, 14: 0.1837, 15: 0.0089, 16: 0.0087, 17: 0.0062, 18: 0.0065, 19: 0.0055, 20: 0.0055, 21: 0.0054, 22: 0.0044, 23: 0.0, 24: 0.0}",7,Home Network Troubleshooting
u727p6,Can I deworm a dog while pregnant,"{0: 0.0457, 1: 0.3094, 2: 0.0428, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.2826, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",1,Romantic Poem Writing
u585p8,first nba black player,"{0: 0.0457, 1: 0.0427, 2: 0.3095, 3: 0.038, 4: 0.3015, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",2,Travel Booking
u900p1,Summarise the following in 500 words or less,"{0: 0.5791, 1: 0.0427, 2: 0.0428, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",0,Document Summarization
u348p7,How to find the inverse of a fubtion,"{0: 0.0457, 1: 0.0427, 2: 0.0428, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.2817, 13: 0.0141, 14: 0.0142, 15: 0.2804, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",12,Email and Application Requests
u889p1,unique custom license plate for me up to 7 characters,"{0: 0.0299, 1: 0.2023, 2: 0.2024, 3: 0.0248, 4: 0.0227, 5: 0.0162, 6: 0.0157, 7: 0.0132, 8: 0.0104, 9: 0.3602, 10: 0.0118, 11: 0.011, 12: 0.0098, 13: 0.0092, 14: 0.0093, 15: 0.0089, 16: 0.0087, 17: 0.0062, 18: 0.0065, 19: 0.0055, 20: 0.0055, 21: 0.0054, 22: 0.0044, 23: 0.0, 24: 0.0}",9,Programming Code Examples
